Symbol,Name,Market Cap,Sector,Industry,Beta,Price,Dividend,Volume,Exchange,Exchange Code,Country,isFund
ISRG,"Intuitive Surgical, Inc.",184990860493.0,Healthcare,Medical - Instruments & Supplies,1.393,520.5819,0.0,756743,NASDAQ Global Select,NASDAQ,US,False
VTV,Vanguard Value Index Fund,184847341506.0,Financial Services,Asset Management,0.8,176.1801,3.9664,1174636,New York Stock Exchange Arca,AMEX,US,True
VZ,Verizon Communications Inc.,184061262000.0,Communication Services,Telecommunications Services,0.41100000000000003,43.725,2.71,8587055,New York Stock Exchange,NYSE,US,False
TXN,Texas Instruments Incorporated,178215440039.0,Technology,Semiconductors,0.973,195.1878,5.44,2517261,NASDAQ Global Select,NASDAQ,US,False
RY,Royal Bank of Canada,176016608000.0,Financial Services,Banks - Diversified,0.843,124.64,4.22,174621,New York Stock Exchange,NYSE,CA,False
VO,Vanguard Mid Cap Index Fund,174769728472.0,Financial Services,Asset Management,1.04,268.299,4.0331,230174,New York Stock Exchange Arca,AMEX,US,True
DIS,The Walt Disney Company,174621513150.0,Communication Services,Entertainment,1.401,96.285,0.75,4003394,New York Stock Exchange,NYSE,US,False
PDD,PDD Holdings Inc.,173582439169.0,Consumer Cyclical,Specialty Retail,0.6980000000000001,124.99,0.0,3327422,NASDAQ Global Select,NASDAQ,CN,False
NEE,"NextEra Energy, Inc.",172382204500.0,Utilities,Regulated Electric,0.552,83.87,2.06,2929730,New York Stock Exchange,NYSE,US,False
INTU,Intuit Inc.,171454616400.0,Technology,Software - Application,1.241,611.7,4.16,340114,NASDAQ Global Select,NASDAQ,US,False
GNE.PA,General Electric Company,171320982528.0,Industrials,Industrial - Machinery,1.218,158.0,1.03,360,Paris,EURONEXT,US,False
TD-PFK.TO,The Toronto-Dominion Bank,171265638380.0,Financial Services,Banks - Diversified,0.854,24.965,0.89063,2041,Toronto Stock Exchange,TSX,CA,False
AMGN,Amgen Inc.,170741663040.0,Healthcare,Drug Manufacturers - General,0.602,317.76,9.0,722376,NASDAQ Global Select,NASDAQ,US,False
UBER,"Uber Technologies, Inc.",168863052500.0,Technology,Software - Application,1.331,80.375,0.0,7425626,New York Stock Exchange,NYSE,US,False
PONPX,PIMCO Income Fund,167236632566.0,Financial Services,Asset Management - Income,0.78,10.69,0.5940000000000001,0,NASDAQ,NASDAQ,,True
PIMIX,PIMCO Income Fund Institutional Class,167236632566.0,Financial Services,Asset Management - Income,0.78,10.69,0.55,0,NASDAQ,NASDAQ,US,True
VZA,"Verizon Communications, 5.9% 15 Feb 2054",166981344195.0,Communication Services,Telecommunications Services,0.0,25.55,0.0,63656,New York Stock Exchange,NYSE,,False
RTX,RTX Corporation,166353163200.0,Industrials,Aerospace & Defense,0.543,125.055,2.52,1954524,New York Stock Exchange,NYSE,US,False
VIGIX,Vanguard Growth Index Institutional,166029180810.0,,,1.2,201.87,0.536,0,NASDAQ,NASDAQ,,True
VIGAX,Vanguard Growth Index Fd Admiral Shs,166012747637.0,,,1.2,201.85,0.527,0,NASDAQ,NASDAQ,,True
SPGI,S&P Global Inc.,163980700000.0,Financial Services,Financial - Data & Stock Exchanges,1.176,523.9,3.64,370064,New York Stock Exchange,NYSE,US,False
PFE,Pfizer Inc.,163965964500.0,Healthcare,Drug Manufacturers - General,0.617,28.935,1.6800000000000002,14406917,New York Stock Exchange,NYSE,US,False
GS,"The Goldman Sachs Group, Inc.",163392267280.0,Financial Services,Financial - Capital Markets,1.35,517.3916,12.0,894904,New York Stock Exchange,NYSE,US,False
HSBC,HSBC Holdings plc,160457354596.0,Financial Services,Banks - Diversified,0.524,44.1518,3.05,488046,New York Stock Exchange,NYSE,GB,False
CATR.PA,Caterpillar Inc.,159920328384.0,Industrials,Agricultural - Machinery,1.178,327.0,4.78,152,Paris,EURONEXT,US,False
ARM,Arm Holdings plc American Depositary Shares,158143200000.0,Technology,Semiconductors,3.92,150.9,0.0,2667764,NASDAQ,NASDAQ,GB,False
CMCSA,Comcast Corporation,157284487900.0,Communication Services,Telecommunications Services,1.012,40.715,1.24,7055828,NASDAQ Global Select,NASDAQ,US,False
LOW,"Lowe's Companies, Inc.",156703621620.0,Consumer Cyclical,Home Improvement,1.093,276.23,4.6,845305,New York Stock Exchange,NYSE,US,False
T,AT&T Inc.,155346117696.0,Communication Services,Telecommunications Services,0.737,21.665399999999998,1.11,15394726,New York Stock Exchange,NYSE,US,False
TBC,AT&T Inc. 5.625% Global Notes d,155236501386.0,Communication Services,Telecommunications Services,0.27570259999999996,24.91,1.757839999999999,30068,New York Stock Exchange,NYSE,US,False
TBB,AT&T Inc. 5.35% GLB NTS 66,154944615285.0,Communication Services,Telecommunications Services,0.25385892,24.2401,1.6719,39920,New York Stock Exchange,NYSE,US,False
UL,Unilever PLC,154461180494.0,Consumer Defensive,Household & Personal Products,0.219,62.2808,1.85,519523,New York Stock Exchange,NYSE,GB,False
RICAX,American Funds Investment Company of America Class R-1,152865652733.0,Financial Services,Asset Management,0.92,61.27,0.316,0,NASDAQ,NASDAQ,,True
CICAX,American Funds Invmt Co of Amer 529A,152865652717.0,,,0.92,61.76,0.7030000000000001,0,Nasdaq,NASDAQ,,True
AICFX,American Funds Investment Co of America Cl F-1 Shs,152865652717.0,Financial Services,Asset Management,0.92,61.76,0.6880000000000001,0,NASDAQ,NASDAQ,,True
AIVSX,American Funds Invmt Co of Amer A,152865652701.0,Financial Services,Asset Management,0.92,61.98,0.725,0,NASDAQ,NASDAQ,,True
RICBX,American Funds Invmt Co of Amer R2,152865652699.0,Financial Services,Asset Management,0.92,61.36,0.308,0,Nasdaq,NASDAQ,,True
AICCX,American Funds Investment Co of America C,152865652686.0,Financial Services,Asset Management,0.92,61.08,0.322,0,NASDAQ,NASDAQ,,True
FFICX,American Funds Invmt Co of Amer F3,152865652679.0,,,0.92,61.95,0.887,0,Nasdaq,NASDAQ,,True
HDB,HDFC Bank Limited,152399380350.0,Financial Services,Banks - Regional,0.833,63.45,0.7000000000000001,2230519,New York Stock Exchange,NYSE,IN,False
AMAT,"Applied Materials, Inc.",152156124260.0,Technology,Semiconductors,1.54,184.565,1.6,2359246,NASDAQ Global Select,NASDAQ,US,False
VGSLX,Vanguard Real Estate Index Fund Admiral Shares,152017190886.0,Real Estate,Real Estate - General,1.2,138.21,2.977999999999999,0,NASDAQ,NASDAQ,,True
TTE,TotalEnergies SE,150142759715.0,Energy,Oil & Gas Integrated,0.737,65.0,3.43,549738,New York Stock Exchange,NYSE,FR,False
FCNTX,Fidelity Contrafund Fund,149070348269.0,Financial Services,Asset Management,1.02,21.62,0.081,0,NASDAQ,NASDAQ,US,True
BLK,"BlackRock, Inc.",148128000000.0,Financial Services,Asset Management,1.318,1000.0,20.4,144374,New York Stock Exchange,NYSE,US,False
INCO.BR,Intel Corporation,147040680000.0,Technology,Semiconductors,0.886929,35.11,0.5,3,Brussels,EURONEXT,US,False
SHOP.TO,Shopify Inc.,146959881476.0,Technology,Software - Application,2.3609999999999998,113.77,0.0,539141,Toronto Stock Exchange,TSX,CA,False
PGR,The Progressive Corporation,146949706970.0,Financial Services,Insurance - Property & Casualty,0.35100000000000003,250.91,0.4,872876,New York Stock Exchange,NYSE,US,False
AWSHX,American Funds Washington Mutual Investors Fund Class A,146614960067.0,Financial Services,Asset Management,0.8200000000000001,65.28,0.9580000000000001,0,NASDAQ,NASDAQ,,True
RWMFX,American Funds Washington Mutual Investors Fund Class R-5,146525126644.0,Financial Services,Asset Management,0.8200000000000001,65.24,1.108,0,NASDAQ,NASDAQ,,True
LMT,Lockheed Martin Corporation,146314866510.0,Industrials,Aerospace & Defense,0.47000000000000003,613.845,13.2,454781,New York Stock Exchange,NYSE,US,False
UNP,Union Pacific Corporation,146183152080.0,Industrials,Railroads,1.05,239.96,5.36,680980,New York Stock Exchange,NYSE,US,False
BKNG,Booking Holdings Inc.,146166384000.0,Consumer Cyclical,Travel Services,1.4020000000000001,4360.0,35.0,63229,NASDAQ Global Select,NASDAQ,US,False
CWMAX,American Funds Washington Mutual Investors Fund Class 529-A,146120851455.0,Financial Services,Asset Management,0.8200000000000001,65.06,0.7370000000000001,0,NASDAQ,NASDAQ,,True
NPFFX,"New Perspective Fund, Class F-1 Shares",146073780216.0,Financial Services,Asset Management,1.1,65.73,0.493,0,NASDAQ,NASDAQ,,True
ANWPX,American Funds New Perspective Fund Class A,146073780210.0,Financial Services,Asset Management,1.1,66.27,0.523,0,NASDAQ,NASDAQ,US,True
RNPGX,American Funds New Perspective Fund Class R-6,146073780180.0,Financial Services,Asset Management,1.1,66.47,0.7010000000000001,0,NASDAQ,NASDAQ,US,True
FNPFX,American Funds New Perspective Fund,146073780160.0,Financial Services,Asset Management,1.1,66.43,0.7010000000000001,0,NASDAQ,NASDAQ,,True
WSHFX,Washington Mutual Invs Fund Cl F-1 Shs,145806426098.0,Financial Services,Asset Management,0.8200000000000001,64.92,0.919999999999999,0,NASDAQ,NASDAQ,,True
WSHCX,American Funds Washington Mutual Investors Fund Class C,143852453862.0,Financial Services,Asset Management,0.8200000000000001,64.05,0.514,0,NASDAQ,NASDAQ,,True
HON,Honeywell International Inc.,143846904465.0,Industrials,Conglomerates,1.027,221.415,4.52,1589441,NASDAQ Global Select,NASDAQ,US,False
RWMBX,American Funds Washington Mutual Investors Fund,143448178667.0,Financial Services,Asset Management,0.8200000000000001,63.87,0.502,0,NASDAQ,NASDAQ,,True
UNA.AS,Unilever PLC,142654029845.0,Consumer Defensive,Household & Personal Products,0.219,57.52,1.72,774532,Amsterdam,EURONEXT,GB,False
BHP,BHP Group Limited,142414433302.0,Basic Materials,Industrial Materials,0.839,56.15,2.92,1033769,New York Stock Exchange,NYSE,AU,False
RFNCX,American Funds Fundamental Invs R3,141875019756.0,,,0.97,86.87,0.581,0,Nasdaq,NASDAQ,,True
FUNFX,American Funds Fundamental Invs F3,141875019752.0,,,0.97,87.12,0.843,0,Nasdaq,NASDAQ,,True
AFIFX,"Fundamental Investors, Class F01 Shares",141875019752.0,Financial Services,Asset Management,0.97,87.12,0.792,0,NASDAQ,NASDAQ,,True
ANCFX,American Funds Fundamental Investors,141875019749.0,Financial Services,Asset Management,0.97,87.17,0.8380000000000001,0,NASDAQ,NASDAQ,,True
CFNAX,American Funds Fundamental Investors Class 529-A,141875019742.0,Financial Services,Asset Management,0.97,86.97,0.647,0,NASDAQ,NASDAQ,,True
SYK,Stryker Corporation,140685268500.0,Healthcare,Medical - Devices,0.918,369.18,3.2,435645,New York Stock Exchange,NYSE,US,False
RERGX,American Funds EuroPacific Growth Fund Class R-6,140248858622.0,Financial Services,Asset Management,1.06,59.74,1.1520000000000001,0,NASDAQ,NASDAQ,US,True
AEPGX,American Funds EuroPacific Growth Fund Class A,140248858617.0,Financial Services,Asset Management,1.06,59.61,0.9410000000000001,0,NASDAQ,NASDAQ,,True
RERHX,American Funds Europacific Growth R5E,140248858605.0,Financial Services,Asset Management,1.06,59.18,1.063,0,Nasdaq,NASDAQ,,True
AEGFX,American Funds EuroPacific Growth Cl F-1 Shs,140248858592.0,Financial Services,Asset Management,1.06,59.31,0.921,0,NASDAQ,NASDAQ,,True
AEPFX,American Funds EuroPacific Growth Fund,140248858591.0,Financial Services,Asset Management,1.06,59.53,1.093,0,NASDAQ,NASDAQ,US,True
TTE.PA,TotalEnergies SE,138454723343.0,Energy,Oil & Gas Integrated,0.737,59.94,3.16,2818310,Paris,EURONEXT,FR,False
ETN,Eaton Corporation plc,137881935000.0,Industrials,Industrial - Machinery,1.01,346.35,3.76,489593,New York Stock Exchange,NYSE,IE,False
TD.TO,The Toronto-Dominion Bank,137017881000.0,Financial Services,Banks - Diversified,0.8240000000000001,78.39,4.08,3438619,Toronto Stock Exchange,TSX,CA,False
SU.PA,Schneider Electric S.E.,136517904368.0,Industrials,Industrial - Machinery,0.964,243.3,3.5,495115,Paris,EURONEXT,FR,False
TD-PFI.TO,The Toronto-Dominion Bank,135899002370.0,Financial Services,Banks - Diversified,0.8240000000000001,25.88,1.57524,400,Toronto Stock Exchange,TSX,CA,False
TD-PFL.TO,The Toronto-Dominion Bank,135459323988.0,Financial Services,Banks - Diversified,0.8280000000000001,24.99,1.3,1407,Toronto Stock Exchange,TSX,CA,False
BOEI.BR,The Boeing Company,135117688832.0,Industrials,Aerospace & Defense,1.428423,224.0,13.695,22,Brussels,EURONEXT,US,False
SNY,Sanofi,134922815400.0,Healthcare,Drug Manufacturers - General,0.423,53.815,2.04,973144,NASDAQ Global Select,NASDAQ,FR,False
IBMA.BR,International Business Machines Corporation,132095872320.0,Technology,Information Technology Services,0.8499300000000001,145.0,6.64,45,Brussels,EURONEXT,US,False
TJX,"The TJX Companies, Inc.",130331017850.0,Consumer Cyclical,Apparel - Retail,0.888,115.555,1.5,2933188,New York Stock Exchange,NYSE,US,False
BSX,Boston Scientific Corporation,130165765700.0,Healthcare,Medical - Devices,0.797,88.39,0.0,2985887,New York Stock Exchange,NYSE,US,False
BX,Blackstone Inc.,129572730375.0,Financial Services,Asset Management,1.502,170.995,3.39,1845864,New York Stock Exchange,NYSE,US,False
CWGIX,American Funds Capital World Growth and Income Fund Class A,129358020592.0,Financial Services,Asset Management - Income,0.99,69.45,1.109999999999999,0,NASDAQ,NASDAQ,US,True
RWICX,American Funds Capital World Growth and Income Fund Class R-3,129358020591.0,Financial Services,Asset Management - Income,0.98,68.87,0.915999999999999,0,NASDAQ,NASDAQ,,True
CWIAX,American Funds Capital World Growth and Income Fund Class 529-A,129358020564.0,Financial Services,Asset Management - Income,0.99,69.14,1.089,0,NASDAQ,NASDAQ,,True
CWGFX,American Funds Capital World Growth & Income Fund Class F-1 Shs,129358020549.0,Financial Services,Asset Management - Income,0.99,69.26,1.069,0,NASDAQ,NASDAQ,,True
AMECX,American Funds The Income Fund of America Class A,129161650174.0,Financial Services,Asset Management - Income,0.89,26.21,0.857,0,NASDAQ,NASDAQ,US,True
IFAFX,"The Income Fund of America, Class F-1 Shares",129161650169.0,Financial Services,Asset Management - Income,0.89,26.12,0.8400000000000001,0,NASDAQ,NASDAQ,,True
RIDGX,American Funds The Income Fund of America,129161650159.0,Financial Services,Asset Management - Income,0.89,26.22,0.931999999999999,0,NASDAQ,NASDAQ,,True
FIFAX,American Funds Income Fund of Amer F3,129161650159.0,,,0.89,26.19,0.931999999999999,0,Nasdaq,NASDAQ,,True
BUD,Anheuser-Busch InBev SA/NV,129074235079.0,Consumer Defensive,Beverages - Alcoholic,0.982,65.13,0.87,376575,New York Stock Exchange,NYSE,BE,False
ANET,"Arista Networks, Inc.",128034625915.0,Technology,Computer Hardware,1.075,407.555,0.0,566501,New York Stock Exchange,NYSE,US,False
ENB-PA.TO,Enbridge Inc,127308514107.0,,,0.0,23.5,1.375,950,Toronto Stock Exchange,TSX,US,False
SCHW,The Charles Schwab Corporation,126206994600.0,Financial Services,Financial - Capital Markets,0.963,70.965,1.0,2189622,New York Stock Exchange,NYSE,US,False
ENB-PN.TO,Enbridge Inc,126053224730.0,,,0.0,22.01,1.57338,10000,Toronto Stock Exchange,TSX,US,False
ENB-PT.TO,Enbridge Inc,125739089215.0,,,0.0,20.7,1.15831,6300,Toronto Stock Exchange,TSX,US,False
SAN.PA,Sanofi,125144891400.0,Healthcare,Drug Manufacturers - General,0.423,99.83,3.76,1059995,Paris,EURONEXT,FR,False
ENB.TO,Enbridge Inc.,125049230600.0,Energy,Oil & Gas Midstream,0.904,57.43,3.66,1178930,Toronto Stock Exchange,TSX,CA,False
IEFA,iShares Core MSCI EAFE ETF,124858599329.0,Financial Services,Asset Management,1.08,75.435,2.27745,3618455,New York Stock Exchange Arca,AMEX,US,False
VRTX,Vertex Pharmaceuticals Incorporated,124740721927.0,Healthcare,Biotechnology,0.402,483.3001,0.0,344126,NASDAQ Global Select,NASDAQ,US,False
KKR,KKR & Co. Inc.,124658696800.0,Financial Services,Asset Management,1.616,140.47,0.7000000000000001,1555482,New York Stock Exchange,NYSE,US,False
MUFG,"Mitsubishi UFJ Financial Group, Inc.",124570715278.0,Financial Services,Banks - Diversified,0.5750000000000001,10.6861,0.27,740407,New York Stock Exchange,NYSE,JP,False
PANW,"Palo Alto Networks, Inc.",122700732000.0,Technology,Software - Infrastructure,1.127,376.845,0.0,1226241,NASDAQ Global Select,NASDAQ,US,False
COP,ConocoPhillips,122279625000.0,Energy,Oil & Gas Exploration & Production,1.223,105.3,3.12,1935083,New York Stock Exchange,NYSE,US,False
NKE,"NIKE, Inc.",121573837617.0,Consumer Cyclical,Apparel - Footwear & Accessories,1.017,81.67,1.48,3595677,New York Stock Exchange,NYSE,US,False
JJEB,iPath B Bloomberg Engy Ttl Ret ETN,121175089106.0,,,0.0,51.74,0.0,2700,New York Stock Exchange Arca,AMEX,US,False
CB,Chubb Limited,120836365000.0,Financial Services,Insurance - Property & Casualty,0.674,299.0,3.64,512025,New York Stock Exchange,NYSE,CH,False
MU,"Micron Technology, Inc.",120409164000.0,Technology,Semiconductors,1.179,108.6,0.46,9311635,NASDAQ Global Select,NASDAQ,US,False
ADP,"Automatic Data Processing, Inc.",118652896440.0,Industrials,Staffing & Employment Services,0.801,290.94,5.6,315759,NASDAQ Global Select,NASDAQ,US,False
AGG,iShares Core U.S. Aggregate Bond ETF,118346048187.0,Financial Services,Asset Management,1.0,98.935,3.52279,3262835,New York Stock Exchange Arca,AMEX,US,False
C,Citigroup Inc.,117147122000.0,Financial Services,Banks - Diversified,1.434,61.94,2.15,5619475,New York Stock Exchange,NYSE,US,False
MDT,Medtronic plc,117040037400.0,Healthcare,Medical - Devices,0.854,91.26,2.8,2372801,New York Stock Exchange,NYSE,IE,False
BN.TO,Brookfield Corporation,116003207400.0,Financial Services,Asset Management,1.746,76.94,0.43,301316,Toronto Stock Exchange,TSX,CA,False
DOXGX,Dodge & Cox Stock X,115760373723.0,,,0.86,279.44,2.226,0,Nasdaq,NASDAQ,,True
ANTM,Elevance Health Inc.,114592481640.0,Healthcare,Medical - Healthcare Plans,0.973684,482.58,29.00299999999999,1274535,New York Stock Exchange,NYSE,US,False
ABI.BR,Anheuser-Busch InBev SA/NV,114549936343.0,Consumer Defensive,Beverages - Alcoholic,0.982,60.18,0.8200000000000001,868367,Brussels,EURONEXT,BE,False
VWELX,Vanguard Wellington Fund,114067628004.0,Financial Services,Asset Management,0.9500000000000001,46.71,0.75,0,NASDAQ,NASDAQ,US,True
VWENX,Vanguard Wellington Fund Admiral Shares,114067628002.0,Financial Services,Asset Management,0.9500000000000001,80.65,1.341,0,NASDAQ,NASDAQ,US,True
FISV,"Fiserv, Inc.",113584785210.0,Technology,Information Technology Services,0.854327,114.23,0.0,0,NASDAQ Global Market,NASDAQ,US,False
FI,"Fiserv, Inc.",113354495250.0,Technology,Information Technology Services,0.933,196.89,0.0,1522270,New York Stock Exchange,NYSE,US,False
UPS,"United Parcel Service, Inc.",112862680519.0,Industrials,Integrated Freight & Logistics,0.979,131.76,6.52,2317201,New York Stock Exchange,NYSE,US,False
COWB,iPath B Bloomberg Lvstck Ttl Ret ETN,112228638706.0,,,0.0,47.92,0.0,470,New York Stock Exchange Arca,AMEX,US,False
JJTB,iPath B Bloomberg Tin Ttl Ret ETN,112134971348.0,,,0.0,47.88,0.0,0,New York Stock Exchange Arca,AMEX,US,False
VSMAX,Vanguard Small Cap Index Fd Admiral Shs,111952789457.0,,,1.07,116.17,0.922,0,NASDAQ,NASDAQ,,True
VSCIX,Vanguard Small-Cap Index Fund Institutional Shares,111943163862.0,Financial Services,Asset Management,1.07,116.16,1.2534,0,NASDAQ,NASDAQ,US,True
BALB,iPath B Bloomberg Cotton Ttl Ret ETN,111736823769.0,,,0.0,47.71,0.0,2220,New York Stock Exchange Arca,AMEX,DE,False
DE,Deere & Company,111617856000.0,Industrials,Agricultural - Machinery,0.932,407.96,5.88,360683,New York Stock Exchange,NYSE,US,False
ADI,"Analog Devices, Inc.",111348485110.0,Technology,Semiconductors,1.071,224.27,3.68,979755,NASDAQ Global Select,NASDAQ,US,False
JJGB,iPath B Bloomberg Grains Ttl Ret ETN,111151325173.0,,,0.0,47.46,0.0,2778,New York Stock Exchange Arca,AMEX,US,False
SONY,Sony Group Corporation,110989365803.0,Technology,Consumer Electronics,0.8200000000000001,18.06,0.11,979980,New York Stock Exchange,NYSE,JP,False
CIRAX,American Funds Capital Income Builder Class 529-A,110615601152.0,Financial Services,Asset Management - Income,0.9400000000000001,73.99,2.246,0,NASDAQ,NASDAQ,,True
CIBFX,Capital  Income Builder Cl F-1 Shs,110615601103.0,Financial Services,Asset Management - Income,0.9400000000000001,74.02,2.224,0,NASDAQ,NASDAQ,,True
CAIBX,American Funds Capital Income Builder Class A,110615601103.0,Financial Services,Asset Management - Income,0.9400000000000001,74.02,2.27,0,NASDAQ,NASDAQ,,True
RIRGX,American Funds Capital Income Builder,110615601080.0,Financial Services,Asset Management - Income,0.9400000000000001,74.0,2.49,0,NASDAQ,NASDAQ,,True
RIO,Rio Tinto Group,109907154664.0,Basic Materials,Industrial Materials,0.594,64.785,4.35,1183175,New York Stock Exchange,NYSE,GB,False
AIR.PA,Airbus SE,109892494776.0,Industrials,Aerospace & Defense,1.592,138.84,1.8,901298,Paris,EURONEXT,NL,False
MMC,"Marsh & McLennan Companies, Inc.",109521437540.0,Financial Services,Insurance - Brokers,0.935,222.715,3.26,709106,New York Stock Exchange,NYSE,US,False
PLD,"Prologis, Inc.",109359348210.0,Real Estate,REIT - Industrial,1.081,118.11,3.84,1576947,New York Stock Exchange,NYSE,US,False
SBUX,Starbucks Corporation,109206484000.0,Consumer Cyclical,Restaurants,0.961,96.37,2.2800000000000002,2107245,NASDAQ Global Select,NASDAQ,US,False
IWF,iShares Russell 1000 Growth ETF,108561881483.0,Financial Services,Asset Management,1.1400000000000001,383.34,2.01661,405687,New York Stock Exchange Arca,AMEX,US,False
SIA.BR,Siemens Aktiengesellschaft,108303572695.0,Industrials,Industrial - Machinery,1.147522,136.72,4.25,400,Brussels,EURONEXT,DE,False
GILD,"Gilead Sciences, Inc.",107928183100.0,Healthcare,Drug Manufacturers - General,0.199,86.69,3.08,1976978,NASDAQ Global Select,NASDAQ,US,False
JJAB,iPath B Bloomberg Agltr Ttl Ret ETN,107450966010.0,,,0.0,45.88,0.0,505,New York Stock Exchange Arca,AMEX,US,False
BJJN,iPath B Bloomberg Nickel Ttl Ret ETN,107287027696.0,,,0.0,45.81,0.0,510,New York Stock Exchange Arca,AMEX,US,False
HCA,"HCA Healthcare, Inc.",106894250800.0,Healthcare,Medical - Care Facilities,1.677,414.2,2.64,441566,New York Stock Exchange,NYSE,US,False
EP-PC,El Paso Energy Capital Trust I PFD CV TR SECS,106874520000.0,Energy,Oil & Gas Midstream,0.0,48.12,1.1875,567,New York Stock Exchange,NYSE,,True
BMY,Bristol-Myers Squibb Company,106337130000.0,Healthcare,Drug Manufacturers - General,0.46,52.45,2.4,2660554,New York Stock Exchange,NYSE,US,False
SHOP,Shopify Inc.,106218783984.0,Technology,Software - Application,2.3609999999999998,82.23,0.0,2980329,New York Stock Exchange,NYSE,CA,False
MELI,"MercadoLibre, Inc.",106008263400.0,Consumer Cyclical,Specialty Retail,1.6059999999999999,2091.0,0.0,107099,NASDAQ Global Select,NASDAQ,UY,False
REGN,"Regeneron Pharmaceuticals, Inc.",105865947990.0,Healthcare,Biotechnology,0.115,976.47,0.0,342417,NASDAQ Global Select,NASDAQ,US,False
CNQ.TO,Canadian Natural Resources Limited,104558783400.0,Energy,Oil & Gas Exploration & Production,1.8860000000000001,49.26,2.14,1379918,Toronto Stock Exchange,TSX,CA,False
TRI.TO,Thomson Reuters Corporation,104337913130.0,Industrials,Specialty Business Services,0.395,232.01,2.93,58010,Toronto Stock Exchange,TSX,CA,False
VTTHX,Vanguard Target Retirement 2035 Fund,104179458027.0,Financial Services,Asset Management,1.08,25.16,0.548,0,NASDAQ,NASDAQ,,True
IBN,ICICI Bank Limited,104050579150.0,Financial Services,Banks - Regional,0.841,29.53,0.24,1652448,New York Stock Exchange,NYSE,IN,False
CDI.PA,Christian Dior SE,103736361800.0,Consumer Cyclical,Luxury Goods,1.038,575.0,13.0,5824,Paris,EURONEXT,FR,False
UBS,UBS Group AG,103509066209.0,Financial Services,Banks - Diversified,1.015,32.325,0.35000000000000003,539382,New York Stock Exchange,NYSE,CH,False
AMT,American Tower Corporation,103173742980.0,Real Estate,REIT - Specialty,0.8320000000000001,220.89,6.48,599752,New York Stock Exchange,NYSE,US,False
JJSB,iPath B Bloomberg Softs Ttl Ret ETN,102696706007.0,,,0.0,43.85,0.0,100,New York Stock Exchange Arca,AMEX,US,False
VDADX,Vanguard Dividend Appreciation Index Fund Admiral Shs,102115614668.0,Financial Services,Asset Management,0.85,54.68,0.487,0,NASDAQ,NASDAQ,,True
CP.TO,Canadian Pacific Railway Limited,102083875000.0,Industrials,Railroads,0.786,109.4,0.76,287139,Toronto Stock Exchange,TSX,CA,False
JJPB,iPath B Bloomberg Prec Mtls Ttl Ret ETN,101970690014.0,,,0.0,43.54,0.0,31,New York Stock Exchange Arca,AMEX,US,False
SGGB,iPath B Bloomberg Sugar Ttl Ret ETN,101877006308.0,,,0.0,43.5,0.0,5879,New York Stock Exchange Arca,AMEX,US,False
SO,The Southern Company,101822374250.0,Utilities,Regulated Electric,0.51,93.025,2.88,1574518,New York Stock Exchange,NYSE,US,False
SOJD,Southern Company (The) Series 2,101466423806.0,Utilities,Regulated Electric,0.62447757,23.405,1.23752,64664,New York Stock Exchange,NYSE,US,False
VIG,Vanguard Dividend Appreciation Index Fund,101421295287.0,Financial Services,Asset Management,0.85,200.12,3.4191000000000003,440061,New York Stock Exchange Arca,AMEX,US,True
FSKAX,Fidelity Total Market Index Fund,100705296340.0,Financial Services,Asset Management,1.02,161.81,1.9,0,NASDAQ,NASDAQ,US,True
SOJC,The Southern Company JR 2017B NT 77,100391658161.0,Utilities,Regulated Electric,0.5251929,24.41,1.31249,12007,New York Stock Exchange,NYSE,US,False
JJMB,iPath B Bloomberg Indl Mtls Ttl Ret ETN,100261027834.0,,,0.0,42.81,0.0,62,New York Stock Exchange Arca,AMEX,US,False
SOJE,Southern Company (The) Series 2,100162097741.0,Utilities,Regulated Electric,0.60440594,21.14,1.3125,40442,New York Stock Exchange,NYSE,US,False
JJCB,iPath B Bloomberg Copper Ttl Ret ETN,99638288369.0,,,0.0,42.5441,0.0,214,New York Stock Exchange Arca,AMEX,US,False
DTEL.BR,Deutsche Telekom AG,99454003200.0,Communication Services,Telecommunications Services,0.535285,20.0,0.7000000000000001,3420,Brussels,EURONEXT,DE,False
EL.PA,EssilorLuxottica Société anonyme,99131884902.0,Healthcare,Medical - Instruments & Supplies,0.919,217.6,3.95,522831,Paris,EURONEXT,FR,False
AI.PA,L'Air Liquide S.A.,99071683392.0,Basic Materials,Chemicals - Specialty,0.63,171.88,2.91,511776,Paris,EURONEXT,FR,False
VTHRX,Vanguard Target Retirement 2030 Fund,99058384883.0,Financial Services,Asset Management,1.01,39.92,0.92,0,NASDAQ,NASDAQ,,True
TD,The Toronto-Dominion Bank,99003503060.0,Financial Services,Banks - Diversified,0.8240000000000001,56.6414,2.9699999999999998,2329520,New York Stock Exchange,NYSE,CA,False
RY-PT,Royal Bank of Canada,98818866872.0,Financial Services,Banks - Diversified,0.779847,25.008,1.69,102,New York Stock Exchange,NYSE,CA,False
TBCIX,T. Rowe Price Blue Chip Growth Fund I Class,98666577870.0,Financial Services,Asset Management,1.16,196.77,0.0,0,NASDAQ,NASDAQ,US,True
ELV,Elevance Health Inc.,98424642355.0,Healthcare,Medical - Healthcare Plans,0.8280000000000001,424.385,6.52,1043228,New York Stock Exchange,NYSE,US,False
